DateKey,Date,Year,Quarter,Month,MonthName,Day
20240720,2024-07-20,2024,Q3,7,July,20
20240721,2024-07-21,2024,Q3,7,July,21
20240722,2024-07-22,2024,Q3,7,July,22
20240723,2024-07-23,2024,Q3,7,July,23
20240724,2024-07-24,2024,Q3,7,July,24
20240725,2024-07-25,2024,Q3,7,July,25
20240726,2024-07-26,2024,Q3,7,July,26
20240727,2024-07-27,2024,Q3,7,July,27
20240728,2024-07-28,2024,Q3,7,July,28
20240729,2024-07-29,2024,Q3,7,July,29
20240730,2024-07-30,2024,Q3,7,July,30
20240731,2024-07-31,2024,Q3,7,July,31
20240801,2024-08-01,2024,Q3,8,August,1
20240802,2024-08-02,2024,Q3,8,August,2
20240803,2024-08-03,2024,Q3,8,August,3
20240804,2024-08-04,2024,Q3,8,August,4
20240805,2024-08-05,2024,Q3,8,August,5
20240806,2024-08-06,2024,Q3,8,August,6
20240807,2024-08-07,2024,Q3,8,August,7
20240808,2024-08-08,2024,Q3,8,August,8
20240809,2024-08-09,2024,Q3,8,August,9
20240810,2024-08-10,2024,Q3,8,August,10
20240811,2024-08-11,2024,Q3,8,August,11
20240812,2024-08-12,2024,Q3,8,August,12
20240813,2024-08-13,2024,Q3,8,August,13
20240814,2024-08-14,2024,Q3,8,August,14
20240815,2024-08-15,2024,Q3,8,August,15
20240816,2024-08-16,2024,Q3,8,August,16
20240817,2024-08-17,2024,Q3,8,August,17
20240818,2024-08-18,2024,Q3,8,August,18
20240819,2024-08-19,2024,Q3,8,August,19
20240820,2024-08-20,2024,Q3,8,August,20
20240821,2024-08-21,2024,Q3,8,August,21
20240822,2024-08-22,2024,Q3,8,August,22
20240823,2024-08-23,2024,Q3,8,August,23
20240824,2024-08-24,2024,Q3,8,August,24
20240825,2024-08-25,2024,Q3,8,August,25
20240826,2024-08-26,2024,Q3,8,August,26
20240827,2024-08-27,2024,Q3,8,August,27
20240828,2024-08-28,2024,Q3,8,August,28
20240829,2024-08-29,2024,Q3,8,August,29
20240830,2024-08-30,2024,Q3,8,August,30
20240831,2024-08-31,2024,Q3,8,August,31
20240901,2024-09-01,2024,Q3,9,September,1
20240902,2024-09-02,2024,Q3,9,September,2
20240903,2024-09-03,2024,Q3,9,September,3
20240904,2024-09-04,2024,Q3,9,September,4
20240905,2024-09-05,2024,Q3,9,September,5
20240906,2024-09-06,2024,Q3,9,September,6
20240907,2024-09-07,2024,Q3,9,September,7
20240908,2024-09-08,2024,Q3,9,September,8
20240909,2024-09-09,2024,Q3,9,September,9
20240910,2024-09-10,2024,Q3,9,September,10
20240911,2024-09-11,2024,Q3,9,September,11
20240912,2024-09-12,2024,Q3,9,September,12
20240913,2024-09-13,2024,Q3,9,September,13
20240914,2024-09-14,2024,Q3,9,September,14
20240915,2024-09-15,2024,Q3,9,September,15
20240916,2024-09-16,2024,Q3,9,September,16
20240917,2024-09-17,2024,Q3,9,September,17
20240918,2024-09-18,2024,Q3,9,September,18
20240919,2024-09-19,2024,Q3,9,September,19
20240920,2024-09-20,2024,Q3,9,September,20
20240921,2024-09-21,2024,Q3,9,September,21
20240922,2024-09-22,2024,Q3,9,September,22
20240923,2024-09-23,2024,Q3,9,September,23
20240924,2024-09-24,2024,Q3,9,September,24
20240925,2024-09-25,2024,Q3,9,September,25
20240926,2024-09-26,2024,Q3,9,September,26
20240927,2024-09-27,2024,Q3,9,September,27
20240928,2024-09-28,2024,Q3,9,September,28
20240929,2024-09-29,2024,Q3,9,September,29
20240930,2024-09-30,2024,Q3,9,September,30
20241001,2024-10-01,2024,Q4,10,October,1
20241002,2024-10-02,2024,Q4,10,October,2
20241003,2024-10-03,2024,Q4,10,October,3
20241004,2024-10-04,2024,Q4,10,October,4
20241005,2024-10-05,2024,Q4,10,October,5
20241006,2024-10-06,2024,Q4,10,October,6
20241007,2024-10-07,2024,Q4,10,October,7
20241008,2024-10-08,2024,Q4,10,October,8
20241009,2024-10-09,2024,Q4,10,October,9
20241010,2024-10-10,2024,Q4,10,October,10
20241011,2024-10-11,2024,Q4,10,October,11
20241012,2024-10-12,2024,Q4,10,October,12
20241013,2024-10-13,2024,Q4,10,October,13
20241014,2024-10-14,2024,Q4,10,October,14
20241015,2024-10-15,2024,Q4,10,October,15
20241016,2024-10-16,2024,Q4,10,October,16
20241017,2024-10-17,2024,Q4,10,October,17
20241018,2024-10-18,2024,Q4,10,October,18
20241019,2024-10-19,2024,Q4,10,October,19
20241020,2024-10-20,2024,Q4,10,October,20
20241021,2024-10-21,2024,Q4,10,October,21
20241022,2024-10-22,2024,Q4,10,October,22
20241023,2024-10-23,2024,Q4,10,October,23
20241024,2024-10-24,2024,Q4,10,October,24
20241025,2024-10-25,2024,Q4,10,October,25
20241026,2024-10-26,2024,Q4,10,October,26
20241027,2024-10-27,2024,Q4,10,October,27
20241028,2024-10-28,2024,Q4,10,October,28
20241029,2024-10-29,2024,Q4,10,October,29
20241030,2024-10-30,2024,Q4,10,October,30
20241031,2024-10-31,2024,Q4,10,October,31
20241101,2024-11-01,2024,Q4,11,November,1
20241102,2024-11-02,2024,Q4,11,November,2
20241103,2024-11-03,2024,Q4,11,November,3
20241104,2024-11-04,2024,Q4,11,November,4
20241105,2024-11-05,2024,Q4,11,November,5
20241106,2024-11-06,2024,Q4,11,November,6
20241107,2024-11-07,2024,Q4,11,November,7
20241108,2024-11-08,2024,Q4,11,November,8
20241109,2024-11-09,2024,Q4,11,November,9
20241110,2024-11-10,2024,Q4,11,November,10
20241111,2024-11-11,2024,Q4,11,November,11
20241112,2024-11-12,2024,Q4,11,November,12
20241113,2024-11-13,2024,Q4,11,November,13
20241114,2024-11-14,2024,Q4,11,November,14
20241115,2024-11-15,2024,Q4,11,November,15
20241116,2024-11-16,2024,Q4,11,November,16
20241117,2024-11-17,2024,Q4,11,November,17
20241118,2024-11-18,2024,Q4,11,November,18
20241119,2024-11-19,2024,Q4,11,November,19
20241120,2024-11-20,2024,Q4,11,November,20
20241121,2024-11-21,2024,Q4,11,November,21
20241122,2024-11-22,2024,Q4,11,November,22
20241123,2024-11-23,2024,Q4,11,November,23
20241124,2024-11-24,2024,Q4,11,November,24
20241125,2024-11-25,2024,Q4,11,November,25
20241126,2024-11-26,2024,Q4,11,November,26
20241127,2024-11-27,2024,Q4,11,November,27
20241128,2024-11-28,2024,Q4,11,November,28
